team,season,SMOY
"Philadelphia 76ers",1991,0
"Atlanta Hawks",1991,0
"Indiana Pacers",1991,1
"New York Knicks",1991,0
"Cleveland Cavaliers",1991,0
"Washington Bullets",1991,0
"New Jersey Nets",1991,0
"Charlotte Hornets",1991,0
"Miami Heat",1991,0
"Los Angeles Lakers",1990,0
"San Antonio Spurs",1990,0
"Portland Trail Blazers",1990,0
"Utah Jazz",1990,0
"Phoenix Suns",1990,0
"Dallas Mavericks",1990,0
"Denver Nuggets",1990,0
"Houston Rockets",1990,0
"Seattle Supersonics",1990,0
"Golden State Warriors",1990,0
"Los Angeles Clippers",1990,0
"Sacramento Kings",1990,0
"Minnesota Timberwolves",1990,0
"Charlotte Hornets",1990,0
"Detroit Pistons",1990,0
"Philadelphia 76ers",1990,0
"Chicago Bulls",1990,0
"Boston Celtics",1990,0
"New York Knicks",1990,0
"Milwaukee Bucks",1990,1
"Cleveland Cavaliers",1990,0
"Indiana Pacers",1990,0
"Atlanta Hawks",1990,0
"Washington Bullets",1990,0
"Miami Heat",1990,0
"Orlando Magic",1990,0
"New Jersey Nets",1990,0
"Los Angeles Lakers",1989,0
"Utah Jazz",1989,0
"Phoenix Suns",1989,1
"Seattle Supersonics",1989,0
"Houston Rockets",1989,0
"Denver Nuggets",1989,0
"Golden State Warriors",1989,0
"Portland Trail Blazers",1989,0
"Dallas Mavericks",1989,0
"Sacramento Kings",1989,0
"San Antonio Spurs",1989,0
"Los Angeles Clippers",1989,0
"Miami Heat",1989,0
"Detroit Pistons",1989,0
"New York Knicks",1989,0
"Cleveland Cavaliers",1989,0
"Atlanta Hawks",1989,0
"Milwaukee Bucks",1989,0
"Chicago Bulls",1989,0
"Philadelphia 76ers",1989,0
"Boston Celtics",1989,0
"Washington Bullets",1989,0
"Indiana Pacers",1989,0
"New Jersey Nets",1989,0
"Charlotte Hornets",1989,0
"Los Angeles Lakers",1988,0
"Denver Nuggets",1988,0
"Dallas Mavericks",1988,1
"Portland Trail Blazers",1988,0
"Utah Jazz",1988,0
"Houston Rockets",1988,0
"Seattle Supersonics",1988,0
"San Antonio Spurs",1988,0
"Phoenix Suns",1988,0
"Sacramento Kings",1988,0
"Golden State Warriors",1988,0
"Los Angeles Clippers",1988,0
"Boston Celtics",1988,0
"Detroit Pistons",1988,0
"Chicago Bulls",1988,0
"Atlanta Hawks",1988,0
"Milwaukee Bucks",1988,0
"Cleveland Cavaliers",1988,0
"Washington Bullets",1988,0
"New York Knicks",1988,0
"Indiana Pacers",1988,0
"Philadelphia 76ers",1988,0
"New Jersey Nets",1988,0
"Los Angeles Lakers",1987,0
"Dallas Mavericks",1987,0
"Portland Trail Blazers",1987,0
"Utah Jazz",1987,0
"Golden State Warriors",1987,0
"Houston Rockets",1987,0
"Seattle Supersonics",1987,0
"Denver Nuggets",1987,0
"Phoenix Suns",1987,0
"Sacramento Kings",1987,0
"San Antonio Spurs",1987,0
"Los Angeles Clippers",1987,0
"Boston Celtics",1987,0
"Atlanta Hawks",1987,0
"Detroit Pistons",1987,0
"Milwaukee Bucks",1987,1
"Philadelphia 76ers",1987,0
"Washington Bullets",1987,0
"Indiana Pacers",1987,0
"Chicago Bulls",1987,0
"Cleveland Cavaliers",1987,0
"New Jersey Nets",1987,0
"New York Knicks",1987,0
"Los Angeles Lakers",1986,0
"Houston Rockets",1986,0
"Denver Nuggets",1986,0
"Dallas Mavericks",1986,0
"Utah Jazz",1986,0
"Portland Trail Blazers",1986,0
"Sacramento Kings",1986,0
"San Antonio Spurs",1986,0
"Phoenix Suns",1986,0
"Los Angeles Clippers",1986,0
"Seattle Supersonics",1986,0
"Golden State Warriors",1986,0
"Boston Celtics",1986,1
"Milwaukee Bucks",1986,0
"Philadelphia 76ers",1986,0
"Atlanta Hawks",1986,0
"Detroit Pistons",1986,0
"Washington Bullets",1986,0
"New Jersey Nets",1986,0
"Chicago Bulls",1986,0
"Cleveland Cavaliers",1986,0
"Indiana Pacers",1986,0
"New York Knicks",1986,0
"Los Angeles Lakers",1985,0
"Denver Nuggets",1985,0
"Houston Rockets",1985,0
"Dallas Mavericks",1985,0
"Portland Trail Blazers",1985,0
"Utah Jazz",1985,0
"San Antonio Spurs",1985,0
"Phoenix Suns",1985,0
"Kansas City Kings",1985,0
"Seattle Supersonics",1985,0
"Los Angeles Clippers",1985,0
"Golden State Warriors",1985,0
"Boston Celtics",1985,1
"Milwaukee Bucks",1985,0
"Philadelphia 76ers",1985,0
"Detroit Pistons",1985,0
"New Jersey Nets",1985,0
"Washington Bullets",1985,0
"Chicago Bulls",1985,0
"Cleveland Cavaliers",1985,0
"Atlanta Hawks",1985,0
"New York Knicks",1985,0
"Indiana Pacers",1985,0
"Los Angeles Lakers",1984,0
"Utah Jazz",1984,0
"Portland Trail Blazers",1984,0
"Dallas Mavericks",1984,0
"Seattle Supersonics",1984,0
"Phoenix Suns",1984,0
"Denver Nuggets",1984,0
"Kansas City Kings",1984,0
"Golden State Warriors",1984,0
"San Antonio Spurs",1984,0
"San Diego Clippers",1984,0
"Houston Rockets",1984,0
"Boston Celtics",1984,1
"Milwaukee Bucks",1984,0
"Philadelphia 76ers",1984,0
"Detroit Pistons",1984,0
"New York Knicks",1984,0
"New Jersey Nets",1984,0
"Atlanta Hawks",1984,0
"Washington Bullets",1984,0
"Cleveland Cavaliers",1984,0
"Chicago Bulls",1984,0
"Indiana Pacers",1984,0
"Los Angeles Lakers",1983,0
"San Antonio Spurs",1983,0
"Phoenix Suns",1983,0
"Seattle Supersonics",1983,0
"Portland Trail Blazers",1983,0
"Denver Nuggets",1983,0
"Kansas City Kings",1983,0
"Dallas Mavericks",1983,0
"Golden State Warriors",1983,0
"Utah Jazz",1983,0
"San Diego Clippers",1983,0
"Houston Rockets",1983,0
"Philadelphia 76ers",1983,1
"Milwaukee Bucks",1983,0
"Boston Celtics",1983,0
"New Jersey Nets",1983,0
"New York Knicks",1983,0
"Atlanta Hawks",1983,0
"Washington Bullets",1983,0
"Detroit Pistons",1983,0
"Chicago Bulls",1983,0
"Cleveland Cavaliers",1983,0
"Indiana Pacers",1983,0
"Los Angeles Lakers",1982,0
"San Antonio Spurs",1982,0
"Seattle Supersonics",1982,0
"Denver Nuggets",1982,0
"Phoenix Suns",1982,0
"Houston Rockets",1982,0
"Golden State Warriors",1982,0
"Portland Trail Blazers",1982,0
"Kansas City Kings",1982,0
"Dallas Mavericks",1982,0
"Utah Jazz",1982,0
"San Diego Clippers",1982,0
"Boston Celtics",1982,0
"Milwaukee Bucks",1982,0
"Philadelphia 76ers",1982,0
"New Jersey Nets",1982,0
"Washington Bullets",1982,0
"Atlanta Hawks",1982,0
"Detroit Pistons",1982,0
"Indiana Pacers",1982,0
"Chicago Bulls",1982,0
"New York Knicks",1982,0
"Cleveland Cavaliers",1982,0
